,Order ID,Product,Quantity Ordered,Price Each,Order Date1,Street,city,Address,Total_price
48,176603,USB-C Charging Cable,1.0,11.95,04/01/19,858 6th St, San Francisco, CA 94016,11.95
49,176604,USB-C Charging Cable,1.0,11.95,04/02/19,462 11th St, San Francisco, CA 94016,11.95
50,176605,USB-C Charging Cable,1.0,11.95,04/15/19,717 Pine St, San Francisco, CA 94016,11.95
51,176606,LG Dryer,1.0,600.0,04/21/19,487 Maple St, San Francisco, CA 94016,600.0
52,176607,AAA Batteries (4-pack),2.0,2.99,04/18/19,689 10th St, Boston, MA 02215,5.98
53,176608,iPhone,1.0,700.0,04/11/19,15 Cherry St, San Francisco, CA 94016,700.0
54,176609,Apple Airpods Headphones,1.0,150.0,04/11/19,267 11th St, Austin, TX 73301,150.0
55,176610,AAA Batteries (4-pack),1.0,2.99,04/26/19,382 River St, Dallas, TX 75001,2.99
56,176611,Bose SoundSport Headphones,1.0,99.99,04/30/19,971 Sunset St, San Francisco, CA 94016,99.99
57,176612,Apple Airpods Headphones,1.0,150.0,04/04/19,149 North St, Seattle, WA 98101,150.0
58,176613,USB-C Charging Cable,2.0,11.95,04/26/19,405 4th St, New York City, NY 10001,23.9
59,176614,AA Batteries (4-pack),1.0,3.84,04/07/19,647 Jackson St, San Francisco, CA 94016,3.84
60,176615,Lightning Charging Cable,1.0,14.95,04/30/19,833 River St, Dallas, TX 75001,14.95
61,176616,USB-C Charging Cable,1.0,11.95,04/05/19,380 Washington St, San Francisco, CA 94016,11.95
62,176617,Apple Airpods Headphones,1.0,150.0,04/25/19,319 8th St, Portland, OR 97035,150.0
63,176618,Lightning Charging Cable,2.0,14.95,04/18/19,273 South St, San Francisco, CA 94016,29.9
64,176619,Flatscreen TV,1.0,300.0,04/16/19,116 North St, Los Angeles, CA 90001,300.0
65,176620,USB-C Charging Cable,1.0,11.95,04/17/19,994 Pine St, Los Angeles, CA 90001,11.95
66,176621,Lightning Charging Cable,1.0,14.95,04/11/19,863 8th St, Boston, MA 02215,14.95
67,176622,AA Batteries (4-pack),1.0,3.84,04/11/19,983 11th St, San Francisco, CA 94016,3.84
68,176623,27in FHD Monitor,1.0,149.99,04/20/19,807 12th St, Atlanta, GA 30301,149.99
69,176624,AA Batteries (4-pack),1.0,3.84,04/28/19,664 Church St, Seattle, WA 98101,3.84
70,176625,AAA Batteries (4-pack),2.0,2.99,04/24/19,858 5th St, San Francisco, CA 94016,5.98
71,176626,Bose SoundSport Headphones,1.0,99.99,04/01/19,491 Chestnut St, Boston, MA 02215,99.99
72,176627,Wired Headphones,1.0,11.99,04/21/19,994 13th St, Atlanta, GA 30301,11.99
73,176628,Lightning Charging Cable,2.0,14.95,04/15/19,628 Wilson St, Dallas, TX 75001,29.9
74,176629,USB-C Charging Cable,1.0,11.95,04/24/19,101 Lincoln St, San Francisco, CA 94016,11.95
75,176630,Google Phone,1.0,600.0,04/10/19,770 Maple St, San Francisco, CA 94016,600.0
76,176631,USB-C Charging Cable,1.0,11.95,04/13/19,292 Dogwood St, San Francisco, CA 94016,11.95
77,176632,AAA Batteries (4-pack),1.0,2.99,04/14/19,814 Madison St, San Francisco, CA 94016,2.99
78,176633,ThinkPad Laptop,1.0,999.99,04/23/19,863 Hickory St, Los Angeles, CA 90001,999.99
79,176634,Lightning Charging Cable,1.0,14.95,04/10/19,311 Madison St, Atlanta, GA 30301,14.95
80,176635,Vareebadd Phone,1.0,400.0,04/26/19,85 North St, San Francisco, CA 94016,400.0
81,176636,AA Batteries (4-pack),1.0,3.84,04/30/19,140 10th St, Boston, MA 02215,3.84
82,176637,AAA Batteries (4-pack),1.0,2.99,04/17/19,261 Sunset St, New York City, NY 10001,2.99
83,176638,USB-C Charging Cable,1.0,11.95,04/20/19,869 Cherry St, Boston, MA 02215,11.95
84,176639,Macbook Pro Laptop,1.0,1700.0,04/28/19,853 Cedar St, San Francisco, CA 94016,1700.0
85,176640,Wired Headphones,2.0,11.99,04/27/19,164 Lake St, San Francisco, CA 94016,23.98
86,176641,Lightning Charging Cable,1.0,14.95,04/25/19,655 Sunset St, Boston, MA 02215,14.95
87,176642,AA Batteries (4-pack),1.0,3.84,04/17/19,72 Elm St, Portland, OR 97035,3.84
88,176643,Macbook Pro Laptop,1.0,1700.0,04/27/19,373 Adams St, Boston, MA 02215,1700.0
89,176644,USB-C Charging Cable,1.0,11.95,04/23/19,962 7th St, Los Angeles, CA 90001,11.95
90,176645,AAA Batteries (4-pack),3.0,2.99,04/26/19,514 Lake St, Dallas, TX 75001,8.97
91,176646,Macbook Pro Laptop,1.0,1700.0,04/22/19,657 Adams St, Portland, OR 97035,1700.0
92,176647,Google Phone,1.0,600.0,04/21/19,273 South St, Los Angeles, CA 90001,600.0
93,176648,27in FHD Monitor,1.0,149.99,04/24/19,732 2nd St, Portland, OR 97035,149.99
94,176649,USB-C Charging Cable,1.0,11.95,04/09/19,702 11th St, San Francisco, CA 94016,11.95
95,176650,Lightning Charging Cable,1.0,14.95,04/12/19,153 River St, Boston, MA 02215,14.95
96,176651,iPhone,1.0,700.0,04/07/19,997 South St, Boston, MA 02215,700.0
97,176652,LG Washing Machine,1.0,600.0,04/09/19,502 14th St, New York City, NY 10001,600.0
98,176653,AA Batteries (4-pack),1.0,3.84,04/26/19,285 Chestnut St, San Francisco, CA 94016,3.84
99,176654,USB-C Charging Cable,1.0,11.95,04/15/19,880 Lakeview St, Seattle, WA 98101,11.95
100,176655,Apple Airpods Headphones,1.0,150.0,04/11/19,848 Center St, San Francisco, CA 94016,150.0
101,176656,Google Phone,1.0,600.0,04/12/19,12 Lakeview St, New York City, NY 10001,600.0
102,176657,ThinkPad Laptop,1.0,999.99,04/23/19,774 Forest St, Los Angeles, CA 90001,999.99
103,176658,AAA Batteries (4-pack),2.0,2.99,04/22/19,573 Pine St, San Francisco, CA 94016,5.98
104,176659,20in Monitor,1.0,109.99,04/29/19,804 Church St, Dallas, TX 75001,109.99
105,176660,AA Batteries (4-pack),1.0,3.84,04/16/19,267 West St, Boston, MA 02215,3.84
106,176661,Wired Headphones,1.0,11.99,04/25/19,522 6th St, Atlanta, GA 30301,11.99
107,176662,34in Ultrawide Monitor,1.0,379.99,04/05/19,678 Hickory St, Portland, OR 97035,379.99
108,176663,Bose SoundSport Headphones,1.0,99.99,04/05/19,450 Johnson St, Seattle, WA 98101,99.99
109,176664,AAA Batteries (4-pack),1.0,2.99,04/13/19,544 Madison St, Los Angeles, CA 90001,2.99
110,176665,ThinkPad Laptop,1.0,999.99,04/07/19,927 13th St, Dallas, TX 75001,999.99
111,176666,Wired Headphones,1.0,11.99,04/08/19,382 Forest St, Seattle, WA 98101,11.99
112,176667,27in 4K Gaming Monitor,1.0,389.99,04/11/19,92 11th St, Los Angeles, CA 90001,389.99
113,176668,AA Batteries (4-pack),1.0,3.84,04/15/19,56 2nd St, Dallas, TX 75001,3.84
114,176669,27in FHD Monitor,1.0,149.99,04/08/19,506 Jackson St, Dallas, TX 75001,149.99
115,176670,Apple Airpods Headphones,1.0,150.0,04/25/19,892 Willow St, San Francisco, CA 94016,150.0
116,176671,AAA Batteries (4-pack),2.0,2.99,04/23/19,738 Jefferson St, New York City, NY 10001,5.98
117,176672,Lightning Charging Cable,1.0,14.95,04/12/19,778 Maple St, New York City, NY 10001,14.95
118,176672,USB-C Charging Cable,1.0,11.95,04/12/19,778 Maple St, New York City, NY 10001,11.95
119,176673,20in Monitor,1.0,109.99,04/10/19,952 1st St, Boston, MA 02215,109.99
120,176674,AAA Batteries (4-pack),3.0,2.99,04/20/19,907 West St, Austin, TX 73301,8.97
121,176675,AAA Batteries (4-pack),1.0,2.99,04/02/19,933 Meadow St, Seattle, WA 98101,2.99
122,176676,LG Dryer,1.0,600.0,04/09/19,788 Lincoln St, Los Angeles, CA 90001,600.0
123,176677,34in Ultrawide Monitor,1.0,379.99,04/01/19,661 Washington St, Austin, TX 73301,379.99
124,176678,AA Batteries (4-pack),2.0,3.84,04/19/19,345 Sunset St, San Francisco, CA 94016,7.68
125,176679,Apple Airpods Headphones,1.0,150.0,04/16/19,245 West St, Boston, MA 02215,150.0
126,176680,USB-C Charging Cable,1.0,11.95,04/13/19,368 Main St, Los Angeles, CA 90001,11.95
127,176681,Apple Airpods Headphones,1.0,150.0,04/20/19,331 Cherry St, Seattle, WA 98101,150.0
128,176681,ThinkPad Laptop,1.0,999.99,04/20/19,331 Cherry St, Seattle, WA 98101,999.99
129,176682,Lightning Charging Cable,1.0,14.95,04/27/19,593 Adams St, Boston, MA 02215,14.95
130,176683,AA Batteries (4-pack),1.0,3.84,04/03/19,253 Willow St, Los Angeles, CA 90001,3.84
131,176684,USB-C Charging Cable,1.0,11.95,04/17/19,293 Washington St, Los Angeles, CA 90001,11.95
132,176685,34in Ultrawide Monitor,1.0,379.99,04/23/19,114 10th St, New York City, NY 10001,379.99
133,176686,Wired Headphones,1.0,11.99,04/17/19,892 10th St, Austin, TX 73301,11.99
134,176687,Macbook Pro Laptop,1.0,1700.0,04/30/19,121 Wilson St, Los Angeles, CA 90001,1700.0
135,176688,Flatscreen TV,1.0,300.0,04/20/19,229 Church St, San Francisco, CA 94016,300.0
136,176689,Bose SoundSport Headphones,1.0,99.99,04/24/19,659 Lincoln St, New York City, NY 10001,99.99
137,176689,AAA Batteries (4-pack),2.0,2.99,04/24/19,659 Lincoln St, New York City, NY 10001,5.98
138,176690,20in Monitor,1.0,109.99,04/04/19,873 Sunset St, San Francisco, CA 94016,109.99
139,176691,AAA Batteries (4-pack),1.0,2.99,04/12/19,991 Lincoln St, Los Angeles, CA 90001,2.99
140,176692,Wired Headphones,1.0,11.99,04/08/19,290 Forest St, San Francisco, CA 94016,11.99
141,176693,AA Batteries (4-pack),1.0,3.84,04/22/19,252 Walnut St, San Francisco, CA 94016,3.84
142,176694,USB-C Charging Cable,1.0,11.95,04/05/19,985 Washington St, Atlanta, GA 30301,11.95
143,176695,AA Batteries (4-pack),2.0,3.84,04/12/19,709 Lake St, Seattle, WA 98101,7.68
144,176696,iPhone,1.0,700.0,04/07/19,343 Johnson St, New York City, NY 10001,700.0
145,176697,Wired Headphones,1.0,11.99,04/20/19,675 Center St, New York City, NY 10001,11.99
146,176698,Bose SoundSport Headphones,1.0,99.99,04/02/19,232 Lakeview St, San Francisco, CA 94016,99.99
147,176699,Bose SoundSport Headphones,1.0,99.99,04/28/19,49 Jefferson St, Boston, MA 02215,99.99
148,176700,34in Ultrawide Monitor,1.0,379.99,04/07/19,967 Walnut St, Dallas, TX 75001,379.99
149,176701,USB-C Charging Cable,1.0,11.95,04/11/19,128 Church St, Austin, TX 73301,11.95
150,176702,AA Batteries (4-pack),1.0,3.84,04/23/19,896 Sunset St, Seattle, WA 98101,3.84
151,176703,20in Monitor,1.0,109.99,04/17/19,748 Washington St, New York City, NY 10001,109.99
152,176704,AA Batteries (4-pack),2.0,3.84,04/17/19,909 Center St, Seattle, WA 98101,7.68
153,176705,Lightning Charging Cable,2.0,14.95,04/06/19,503 8th St, Austin, TX 73301,29.9
154,176706,Lightning Charging Cable,1.0,14.95,04/13/19,309 South St, New York City, NY 10001,14.95
155,176707,Apple Airpods Headphones,1.0,150.0,04/13/19,408 Center St, Portland, OR 97035,150.0
156,176708,Wired Headphones,1.0,11.99,04/28/19,542 Ridge St, New York City, NY 10001,11.99
157,176709,AA Batteries (4-pack),1.0,3.84,04/24/19,971 Church St, Dallas, TX 75001,3.84
158,176710,20in Monitor,2.0,109.99,04/07/19,848 West St, Dallas, TX 75001,219.98
159,176711,Flatscreen TV,1.0,300.0,04/30/19,796 River St, Dallas, TX 75001,300.0
160,176712,Google Phone,1.0,600.0,04/20/19,910 Washington St, San Francisco, CA 94016,600.0
161,176713,Wired Headphones,1.0,11.99,04/21/19,498 Walnut St, San Francisco, CA 94016,11.99
162,176714,USB-C Charging Cable,1.0,11.95,04/26/19,303 Spruce St, Los Angeles, CA 90001,11.95
163,176715,Apple Airpods Headphones,1.0,150.0,04/27/19,258 Jefferson St, San Francisco, CA 94016,150.0
164,176716,Wired Headphones,1.0,11.99,04/24/19,794 7th St, Los Angeles, CA 90001,11.99
165,176717,Apple Airpods Headphones,1.0,150.0,04/19/19,490 Lakeview St, Atlanta, GA 30301,150.0
166,176718,Lightning Charging Cable,1.0,14.95,04/22/19,672 Sunset St, Los Angeles, CA 90001,14.95
167,176719,Flatscreen TV,1.0,300.0,04/27/19,602 Hickory St, Boston, MA 02215,300.0
168,176720,Lightning Charging Cable,1.0,14.95,04/21/19,556 South St, Portland, OR 97035,14.95
169,176721,AAA Batteries (4-pack),1.0,2.99,04/26/19,469 7th St, San Francisco, CA 94016,2.99
170,176722,27in 4K Gaming Monitor,1.0,389.99,04/01/19,209 14th St, New York City, NY 10001,389.99
171,176723,27in 4K Gaming Monitor,1.0,389.99,04/19/19,613 12th St, Portland, OR 97035,389.99
172,176724,Lightning Charging Cable,1.0,14.95,04/26/19,34 12th St, San Francisco, CA 94016,14.95
173,176725,AA Batteries (4-pack),2.0,3.84,04/15/19,630 14th St, San Francisco, CA 94016,7.68
174,176726,USB-C Charging Cable,1.0,11.95,04/13/19,979 8th St, Los Angeles, CA 90001,11.95
175,176727,Lightning Charging Cable,1.0,14.95,04/14/19,218 Hickory St, Los Angeles, CA 90001,14.95
176,176728,Lightning Charging Cable,1.0,14.95,04/21/19,516 Park St, Atlanta, GA 30301,14.95
177,176729,USB-C Charging Cable,1.0,11.95,04/24/19,637 9th St, Seattle, WA 98101,11.95
178,176730,Bose SoundSport Headphones,1.0,99.99,04/17/19,403 Ridge St, New York City, NY 10001,99.99
179,176731,AAA Batteries (4-pack),2.0,2.99,04/21/19,36 Lincoln St, San Francisco, CA 94016,5.98
180,176732,iPhone,1.0,700.0,04/23/19,504 Wilson St, Dallas, TX 75001,700.0
181,176733,20in Monitor,1.0,109.99,04/11/19,575 Hickory St, San Francisco, CA 94016,109.99
182,176734,Apple Airpods Headphones,1.0,150.0,04/03/19,611 Jackson St, New York City, NY 10001,150.0
183,176735,27in FHD Monitor,1.0,149.99,04/16/19,802 Ridge St, Austin, TX 73301,149.99
184,176736,AA Batteries (4-pack),1.0,3.84,04/17/19,421 2nd St, Los Angeles, CA 90001,3.84
185,176737,Apple Airpods Headphones,1.0,150.0,04/07/19,109 Center St, Los Angeles, CA 90001,150.0
186,176738,AA Batteries (4-pack),1.0,3.84,04/03/19,661 Center St, San Francisco, CA 94016,3.84
187,176739,34in Ultrawide Monitor,1.0,379.99,04/05/19,730 6th St, Austin, TX 73301,379.99
188,176739,Google Phone,1.0,600.0,04/05/19,730 6th St, Austin, TX 73301,600.0
189,176740,Bose SoundSport Headphones,1.0,99.99,04/24/19,699 Washington St, Dallas, TX 75001,99.99
190,176741,USB-C Charging Cable,1.0,11.95,04/29/19,990 Ridge St, San Francisco, CA 94016,11.95
191,176742,Wired Headphones,1.0,11.99,04/17/19,115 Forest St, Los Angeles, CA 90001,11.99
192,176743,27in 4K Gaming Monitor,1.0,389.99,04/01/19,570 11th St, Atlanta, GA 30301,389.99
193,176744,Lightning Charging Cable,1.0,14.95,04/14/19,937 Maple St, Los Angeles, CA 90001,14.95
194,176745,Wired Headphones,1.0,11.99,04/24/19,461 Adams St, Los Angeles, CA 90001,11.99
195,176746,27in 4K Gaming Monitor,1.0,389.99,04/08/19,638 Park St, Seattle, WA 98101,389.99
196,176747,Macbook Pro Laptop,1.0,1700.0,04/27/19,645 7th St, San Francisco, CA 94016,1700.0
197,176748,Flatscreen TV,1.0,300.0,04/24/19,339 13th St, Boston, MA 02215,300.0
198,176749,ThinkPad Laptop,1.0,999.99,04/26/19,322 Adams St, Seattle, WA 98101,999.99
199,176750,AA Batteries (4-pack),1.0,3.84,04/13/19,255 Cedar St, Austin, TX 73301,3.84
200,176751,AAA Batteries (4-pack),1.0,2.99,04/18/19,258 4th St, San Francisco, CA 94016,2.99
201,176752,AA Batteries (4-pack),1.0,3.84,04/13/19,665 Wilson St, San Francisco, CA 94016,3.84
202,176753,USB-C Charging Cable,1.0,11.95,04/01/19,496 Adams St, Atlanta, GA 30301,11.95
203,176754,34in Ultrawide Monitor,1.0,379.99,04/02/19,288 Forest St, Los Angeles, CA 90001,379.99
204,176755,27in 4K Gaming Monitor,1.0,389.99,04/09/19,825 Madison St, Seattle, WA 98101,389.99
205,176756,27in FHD Monitor,1.0,149.99,04/05/19,348 Lake St, New York City, NY 10001,149.99
206,176757,AA Batteries (4-pack),1.0,3.84,04/11/19,79 Hickory St, Portland, OR 97035,3.84
207,176758,34in Ultrawide Monitor,1.0,379.99,04/18/19,166 Highland St, San Francisco, CA 94016,379.99
208,176759,Lightning Charging Cable,1.0,14.95,04/06/19,864 Main St, Los Angeles, CA 90001,14.95
209,176760,Wired Headphones,1.0,11.99,04/02/19,813 Highland St, San Francisco, CA 94016,11.99
210,176761,Apple Airpods Headphones,1.0,150.0,04/26/19,830 2nd St, San Francisco, CA 94016,150.0
211,176762,AA Batteries (4-pack),1.0,3.84,04/18/19,977 1st St, Seattle, WA 98101,3.84
212,176763,USB-C Charging Cable,1.0,11.95,04/25/19,638 Johnson St, San Francisco, CA 94016,11.95
213,176764,Wired Headphones,1.0,11.99,04/16/19,652 Center St, Atlanta, GA 30301,11.99
214,176765,USB-C Charging Cable,1.0,11.95,04/14/19,729 Ridge St, San Francisco, CA 94016,11.95
215,176766,AA Batteries (4-pack),2.0,3.84,04/21/19,84 Johnson St, Boston, MA 02215,7.68
216,176767,27in 4K Gaming Monitor,1.0,389.99,04/09/19,205 4th St, Atlanta, GA 30301,389.99
217,176768,Wired Headphones,1.0,11.99,04/04/19,643 Spruce St, Los Angeles, CA 90001,11.99
218,176769,AA Batteries (4-pack),1.0,3.84,04/29/19,206 10th St, San Francisco, CA 94016,3.84
219,176770,Wired Headphones,1.0,11.99,04/08/19,345 Church St, San Francisco, CA 94016,11.99
220,176771,Lightning Charging Cable,1.0,14.95,04/24/19,403 11th St, New York City, NY 10001,14.95
221,176772,AA Batteries (4-pack),1.0,3.84,04/10/19,426 14th St, New York City, NY 10001,3.84
222,176773,AAA Batteries (4-pack),2.0,2.99,04/25/19,30 9th St, Portland, ME 04101,5.98
223,176774,Lightning Charging Cable,1.0,14.95,04/25/19,372 Church St, Los Angeles, CA 90001,14.95
224,176774,USB-C Charging Cable,1.0,11.95,04/25/19,372 Church St, Los Angeles, CA 90001,11.95
225,176775,USB-C Charging Cable,2.0,11.95,04/01/19,975 Forest St, San Francisco, CA 94016,23.9
226,176776,Bose SoundSport Headphones,1.0,99.99,04/24/19,613 Washington St, Seattle, WA 98101,99.99
227,176777,Apple Airpods Headphones,1.0,150.0,04/14/19,163 Jackson St, Portland, OR 97035,150.0
228,176778,34in Ultrawide Monitor,1.0,379.99,04/12/19,201 Madison St, San Francisco, CA 94016,379.99
229,176779,27in FHD Monitor,1.0,149.99,04/04/19,351 Park St, Atlanta, GA 30301,149.99
230,176780,Lightning Charging Cable,1.0,14.95,04/18/19,52 Walnut St, New York City, NY 10001,14.95
231,176781,iPhone,1.0,700.0,04/03/19,976 Hickory St, Dallas, TX 75001,700.0
232,176781,Lightning Charging Cable,1.0,14.95,04/03/19,976 Hickory St, Dallas, TX 75001,14.95
233,176782,Apple Airpods Headphones,1.0,150.0,04/22/19,993 13th St, San Francisco, CA 94016,150.0
234,176783,Apple Airpods Headphones,1.0,150.0,04/05/19,926 North St, San Francisco, CA 94016,150.0
235,176784,AAA Batteries (4-pack),1.0,2.99,04/08/19,725 Madison St, Los Angeles, CA 90001,2.99
236,176785,Bose SoundSport Headphones,1.0,99.99,04/03/19,533 Ridge St, Los Angeles, CA 90001,99.99
237,176786,20in Monitor,1.0,109.99,04/06/19,701 North St, San Francisco, CA 94016,109.99
238,176787,Google Phone,1.0,600.0,04/14/19,180 Pine St, Los Angeles, CA 90001,600.0
239,176788,Bose SoundSport Headphones,1.0,99.99,04/15/19,200 North St, New York City, NY 10001,99.99
240,176789,Lightning Charging Cable,1.0,14.95,04/21/19,990 Meadow St, San Francisco, CA 94016,14.95
241,176790,AAA Batteries (4-pack),1.0,2.99,04/28/19,689 9th St, Austin, TX 73301,2.99
242,176791,Google Phone,1.0,600.0,04/21/19,908 Jackson St, Los Angeles, CA 90001,600.0
243,176792,27in 4K Gaming Monitor,1.0,389.99,04/30/19,772 11th St, Atlanta, GA 30301,389.99
244,176793,Wired Headphones,1.0,11.99,04/17/19,147 South St, San Francisco, CA 94016,11.99
245,176794,Lightning Charging Cable,1.0,14.95,04/10/19,425 Adams St, Dallas, TX 75001,14.95
246,176795,Wired Headphones,1.0,11.99,04/13/19,360 Center St, San Francisco, CA 94016,11.99
247,176796,Bose SoundSport Headphones,1.0,99.99,04/07/19,5 2nd St, Los Angeles, CA 90001,99.99
248,176797,Google Phone,1.0,600.0,04/21/19,923 Elm St, Los Angeles, CA 90001,600.0
249,176797,Bose SoundSport Headphones,1.0,99.99,04/21/19,923 Elm St, Los Angeles, CA 90001,99.99
250,176797,Wired Headphones,1.0,11.99,04/21/19,923 Elm St, Los Angeles, CA 90001,11.99
251,176798,iPhone,1.0,700.0,04/06/19,445 Jefferson St, Atlanta, GA 30301,700.0
252,176799,Wired Headphones,1.0,11.99,04/03/19,452 Spruce St, Portland, OR 97035,11.99
253,176800,Lightning Charging Cable,1.0,14.95,04/09/19,766 West St, Atlanta, GA 30301,14.95
254,176801,Vareebadd Phone,1.0,400.0,04/28/19,125 North St, San Francisco, CA 94016,400.0
255,176802,AA Batteries (4-pack),1.0,3.84,04/29/19,627 12th St, Boston, MA 02215,3.84
256,176803,AA Batteries (4-pack),1.0,3.84,04/01/19,649 7th St, Austin, TX 73301,3.84
257,176804,Bose SoundSport Headphones,1.0,99.99,04/21/19,690 Walnut St, Seattle, WA 98101,99.99
258,176805,Google Phone,1.0,600.0,04/01/19,91 Lincoln St, Portland, OR 97035,600.0
259,176805,USB-C Charging Cable,1.0,11.95,04/01/19,91 Lincoln St, Portland, OR 97035,11.95
260,176806,Macbook Pro Laptop,1.0,1700.0,04/22/19,197 Cherry St, Austin, TX 73301,1700.0
261,176807,USB-C Charging Cable,1.0,11.95,04/21/19,758 Hill St, Seattle, WA 98101,11.95
262,176808,Google Phone,1.0,600.0,04/28/19,933 Meadow St, San Francisco, CA 94016,600.0
263,176808,Wired Headphones,1.0,11.99,04/28/19,933 Meadow St, San Francisco, CA 94016,11.99
264,176809,Bose SoundSport Headphones,2.0,99.99,04/19/19,278 13th St, San Francisco, CA 94016,199.98
265,176810,AAA Batteries (4-pack),1.0,2.99,04/30/19,86 Meadow St, Atlanta, GA 30301,2.99
